date,text
13.01.2020,Шок-контент: как нейронные связи большого таракана объединяют науку и искусство в магистерской программе Art&Science.
10.01.2020,"Группа ученых вместе со специалистами Университета ИТМО создали новые материалы для управления светом в наномасштабе. Это может дать толчок в производстве оптических транзисторов и развитии всей микроэлектроники. 

Подробнее в материале ITMO.NEWS."
10.01.2020,Осталась неделя до конца набора в школу тестирования группы компаний ЦРТ. Курсы легко можно совмещать с работой или учебой😉
10.01.2020,"Студенты Университета ИТМО придумали контроллер для VR нового поколения. Почитайте, как устройство может изменить индустрию игр и есть ли у него конкуренты на мировом рынке."
09.01.2020,"День науки в Университете ИТМО уже через месяц! 🧪

Новогодние праздники заканчиваются, и мы готовы представить первых спикеров секции Mega Battle. Актуальные темы, ключевые достижения мегафакультетов и стратегии развития научных исследований — всё это на ITMO Open Science. 

Где: музей современного искусства «Эрарта»
Когда: 7 февраля 2020 года 
Не забывайте регистрироваться: openscience.itmo.ru"
09.01.2020,"Как в 20 лет создать своё digital-агентство и получить премию «Молодые лидеры Рунета»? 

Рассказывает Даниил Самойлов, студент 3 курса Университета ИТМО."
09.01.2020,"Теперь к серьёзным темам. Ученые Университета ИТМО рассказали корреспонденту ITMO.NEWS о самых значимых событиях 2019 года из мира науки. 
 
Почитайте, какие открытия и публикации прошлого года мы будем вспоминать ещё долго (спойлер: Google и тут в лидерах)."
07.01.2020,"Зимняя сессия уже совсем скоро. Желаем всем студентам вытянуть счастливый билет.

И, конечно, хорошо подготовиться!😁"
05.01.2020,"Журнал Time выбрал лучшие изобретения года. Среди них виртуальная операционная для тренировки хирургов, бритва нового поколения и телефон без камеры и интернета… 

А что бы вы назвали лучшим изобретением 2019 года? 

Полный список здесь: vk.cc/abrueq 

Внимание, статья на английском языке!"
04.01.2020,"Помните, в прошлом году давали себе обещание больше читать? Так вот, праздники — отличное время, чтобы успеть сделать то, на что весь год не хватало времени. Если уже устали ходить по гостям и объедаться салатами — попробуйте перевести дух в компании крутой книги, подкаста или фильма. Составили свой топ на эти новогодние каникулы."
03.01.2020,"В декабре мы подвели итоги года, но упустили главное. Давайте сейчас выберем лучший мем 2019 года. На что вы не жалели лайки? Какие мемы остались в ваших сердцах? 

И да простит нас итмем..."
01.01.2020,"Хее-хей! Ну что, как настроение? Доели оливьешку? ☺

Теперь можно заняться чем-то полезным. Мы подготовили
 список лекций на интересные и забавные научные темы. Идеально для беззаботных выходных дней!

1. Копрология – наука об экскрементах. Фекалии вымерших животных могут содержать в себе невероятные сведения! 
 
2. Как определить, что человек несёт бред? Посмотри и обзывай корешей с помощью научного подхода! 
 
3. Чем отличается работа врача в кино и в реальной жизни? Где в медицинских сериалах врут, а где говорят правду?
 
4. Никаких лего и машинок, только хардкор. Во что играли дети древних людей?"
31.12.2019,"С наступающим Новым годом! 🎉

Да пребудет с вами цифровое будущее, мегауспехи и суперпрорывы вместе с Университетом ИТМО. Мы любим вас❤"
31.12.2019,"Вот такие получились итоги года Университета ИТМО. Надеемся, вам понравилось☺

Помимо того, что заканчивается 2019 год, подходит к концу целое десятилетие. Оно было богатым на события и большие перемены. 

Что для вас стало самым значимым и запоминающимся?"
30.12.2019,"А вот как итоги года подвели наши друзья из ITMO.NEWS ☺

https://vk.cc/ac34PZ

За каждой елочной игрушкой – гифка о самом главном. Смотрим анимированные воспоминания о лучшем в прошедшем году и двигаемся дальше – в 2020 год!"
30.12.2019,"И завершающая карточка #ИТОГИ2019

Теперь мы точно можем сказать, что в ИТМО будет собственный город будущего. ИТМО Хайпарк — это второй кампус, инновационный центр, центр прогрессивных производств. Точка роста и место силы. Ещё один шаг в будущее для университета и всей страны.

В следующем году начнётся подготовка к строительству первой очереди. Это главное здание, студенческий клуб, музей науки и технологий, комплекс апартаментов для обучающихся, плюс все что нужно для комфортной жизни.

Обещаем держать вас в курсе и подробно рассказывать о нашем мегапроекте в 2020-м!"
27.12.2019,"Мы открываем регистрацию на ITMO Open Science!

7 февраля в музее современного искусства «Эрарта» мы соберемся во второй раз на самой неклассической научной конференции. Приходите поддержать коллег на Mega Battle, послушать огненный Power Pitch, посмотреть на лучшие разработки и поговорить на Open Talk с ректором. Подробнее о мероприятии и регистрация: openscience.itmo.ru

Сайт будет дополняться, следите за новостями 😎"
27.12.2019,"Есть в академическом мире такое событие, как научная конференция. Обычно это большой актовый зал, трибуна, которая помнит ещё времена Брежнева, и часовые рассказы о достижениях. 

Мы решили, что в первом неклассическом всё должно быть по-другому и придумали ITMO Open Science. Вместо скучных выступлений - баттл мегадеканов, вместо актового зала - музей современного искусства, а ещё питчинг идей и огненные выступления. 

Было круто, в 2020 году повторим! 😉"
